
a vazut restaurantele,01.05.2022, 23:21:13
a vazut restaurantele,01.05.2022, 23:22:03
a vazut meniul,01.05.2022, 23:22:07
au fost vizionati clientii,01.05.2022, 23:22:15
a fost adaugat un fel de mancare,01.05.2022, 23:35:24
